"","employees","salaries_2017","adjustments","salaries_2018","increased_salaries"
"1","Employee 1",46136.4133702591,-1488.86677110568,44647.5465991534,FALSE
"2","Employee 2",47738.8794161379,-532.586488407105,47206.2929277308,FALSE
"3","Employee 3",49755.5922274478,-3249.51869319193,46506.0735342558,FALSE
"4","Employee 4",40213.8963388279,2007.10712233558,42221.0034611635,TRUE
"5","Employee 5",42650.1228148118,5511.30751497112,48161.4303297829,TRUE
"6","Employee 6",41790.1797825471,-4920.24527629837,36869.9345062487,FALSE
"7","Employee 7",46656.8747768179,972.736119292676,47629.6108961105,TRUE
"8","Employee 8",46674.2821200751,7742.95419803821,54417.2363181133,TRUE
"9","Employee 9",49664.4297591411,-2867.69617116079,46796.7335879803,FALSE
"10","Employee 10",45438.643808011,4082.4359911494,49521.0797991604,TRUE
"11","Employee 11",41001.457972452,4023.73232296668,45025.1902954187,TRUE
"12","Employee 12",44757.129419595,5031.12812293693,49788.2575425319,TRUE
"13","Employee 13",45608.8654999621,8325.56768669747,53934.4331866596,TRUE
"14","Employee 14",45213.4301443584,8798.67859883234,54012.1087431908,TRUE
"15","Employee 15",42875.7835715078,5448.11435625888,48323.8979277667,TRUE
"16","Employee 16",47392.1571183018,9973.84471469559,57366.0018329974,TRUE
"17","Employee 17",48530.4181766696,8746.38325185515,57276.8014285248,TRUE
"18","Employee 18",46034.0416431427,452.518429374322,46486.560072517,TRUE
"19","Employee 19",43206.1874656938,809.266467113048,44015.4539328068,TRUE
"20","Employee 20",43239.3291871995,9502.75739305653,52742.086580256,TRUE
"21","Employee 21",46028.3553902991,-4747.17124481685,41281.1841454823,FALSE
"22","Employee 22",41710.9991563484,7963.35429535247,49674.3534517009,TRUE
"23","Employee 23",42328.0814732425,7466.35096380487,49794.4324370474,TRUE
"24","Employee 24",41670.2021495439,9185.49627764151,50855.6984271854,TRUE
"25","Employee 25",45091.6060549207,1949.93340992369,47041.5394648444,TRUE
"26","Employee 26",42853.4704307094,-4404.32564821094,38449.1447824985,FALSE
"27","Employee 27",42312.0987252332,1458.59625190496,43770.6949771382,TRUE
"28","Employee 28",43451.5441558324,3343.7798731029,46795.3240289353,TRUE
"29","Employee 29",40442.5994190387,5027.27799350396,45469.8774125427,TRUE
"30","Employee 30",45809.5857617445,1825.85218222812,47635.4379439726,TRUE
"31","Employee 31",49236.8968995288,2652.10265642963,51888.9995559584,TRUE
"32","Employee 32",48104.6015536413,3981.81544849649,52086.4170021378,TRUE
"33","Employee 33",43366.7216729373,-4552.16123489663,38814.5604380406,FALSE
"34","Employee 34",48127.2768531926,4618.72704559937,52746.003898792,TRUE
"35","Employee 35",43619.0704163164,-1930.9663423337,41688.1040739827,FALSE
"36","Employee 36",48835.5754152872,7397.5137877278,56233.089203015,TRUE
"37","Employee 37",40458.3637579344,9731.96781706065,50190.3315749951,TRUE
"38","Employee 38",40531.1023746617,8948.20536021143,49479.3077348731,TRUE
"39","Employee 39",43435.9430172481,1869.64880675077,45305.5918239988,TRUE
"40","Employee 40",48542.807563208,6349.85454496928,54892.6621081773,TRUE
"41","Employee 41",46772.7770470083,-1540.34504317679,45232.4320038315,FALSE
"42","Employee 42",48520.5584927462,2107.5342525728,50628.092745319,TRUE
"43","Employee 43",45595.4895960167,4903.38373114355,50498.8733271603,TRUE
"44","Employee 44",49284.59092509,9738.60626341775,59023.1971885078,TRUE
"45","Employee 45",40512.9763926379,8779.98797106557,49292.9643637035,TRUE
"46","Employee 46",49173.6060054973,6255.28944889084,55428.8954543881,TRUE
